Methods should not have too many parameters;Code Smell;Printf-style format strings should be used correctly;Code Smell;7
Feature Concentration;Architectural Smell;Synchronized classes Vector  Hashtable  Stack and StringBuffer should not be used;Code Smell;7
@Deprecated code should not be used;Code Smell;Boxed Boolean should be avoided in boolean expressions;Code Smell;7
Ternary operators should not be nested;Code Smell;The diamond operator (<>) should be used;Code Smell;7
Boxed Boolean should be avoided in boolean expressions;Code Smell;Cognitive Complexity of methods should not be too high;Code Smell;7
Modifiers should be declared in the correct order;Code Smell;The diamond operator (<>) should be used;Code Smell;7
Methods should not have identical implementations;Code Smell;Return of boolean expressions should not be wrapped into an if-then-else statement;Code Smell;7
Catches should be combined;Code Smell;Unnecessary imports should be removed;Code Smell;7
Cognitive Complexity of methods should not be too high;Code Smell;Local variables should not be declared and then immediately returned or thrown;Code Smell;7
Sections of code should not be commented out;Code Smell;The diamond operator (<>) should be used;Code Smell;7
Subclasses that add fields should override equals;Code Smell;Unutilized Abstraction;Design Smell;7
Deficient Encapsulation;Design Smell;Methods should not have too many parameters;Code Smell;7
Methods should not have too many parameters;Code Smell;Subclasses that add fields should override equals;Code Smell;7
Loops should not contain more than a single break or continue statement;Code Smell;Methods should not have too many parameters;Code Smell;7
Catches should be combined;Code Smell;Java 8 features should be preferred to Guava;Code Smell;7
Cognitive Complexity of methods should not be too high;Code Smell;Sections of code should not be commented out;Code Smell;7
Catches should be combined;Code Smell;String literals should not be duplicated;Code Smell;7
Anonymous inner classes containing only one method should become lambdas;Code Smell;Preconditions and logging arguments should not require evaluation;Code Smell;7
Insufficient Modularization;Design Smell;Methods should not have identical implementations;Code Smell;7
Sections of code should not be commented out;Code Smell;Track uses of TODO tags;Code Smell;7
Catches should be combined;Code Smell;Deficient Encapsulation;Design Smell;7
Insufficient Modularization;Design Smell;Preconditions and logging arguments should not require evaluation;Code Smell;6
Null pointers should not be dereferenced;Code Smell;Unused method parameters should be removed;Code Smell;6
Broken Hierarchy;Design Smell;Source files should not have any duplicated blocks;Code Smell;6
Boxed Boolean should be avoided in boolean expressions;Code Smell;Insufficient Modularization;Design Smell;6
Cognitive Complexity of methods should not be too high;Code Smell;Collection.isEmpty() should be used to test for emptiness;Code Smell;6
Insufficient Modularization;Design Smell;Local variables should not be declared and then immediately returned or thrown;Code Smell;6
Feature Concentration;Architectural Smell;Type parameter names should comply with a naming convention;Code Smell;6
Generic exceptions should never be thrown;Code Smell;Sections of code should not be commented out;Code Smell;6
Loops should not contain more than a single break or continue statement;Code Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;6
@Deprecated code should not be used;Code Smell;Generic exceptions should never be thrown;Code Smell;6
Methods should not have too many parameters;Code Smell;Unused private fields should be removed;Code Smell;6
Collection.isEmpty() should be used to test for emptiness;Code Smell;Methods should not have too many parameters;Code Smell;6
Child class fields should not shadow parent class fields;Code Smell;throws declarations should not be superfluous;Code Smell;6
Unused method parameters should be removed;Code Smell;throws declarations should not be superfluous;Code Smell;6
Generic exceptions should never be thrown;Code Smell;Unnecessary imports should be removed;Code Smell;6
Source files should not have any duplicated blocks;Code Smell;Track uses of TODO tags;Code Smell;6
@Override should be used on overriding and implementing methods;Code Smell;Feature Concentration;Architectural Smell;6
Java 8 features should be preferred to Guava;Code Smell;Preconditions and logging arguments should not require evaluation;Code Smell;6
Fields in a Serializable class should either be transient or serializable;Code Smell;Return of boolean expressions should not be wrapped into an if-then-else statement;Code Smell;6
Methods should not have too many parameters;Code Smell;Null pointers should not be dereferenced;Code Smell;6
@Deprecated code should not be used;Code Smell;String literals should not be duplicated;Code Smell;6
@Deprecated code should not be used;Code Smell;Child class fields should not shadow parent class fields;Code Smell;6
Generic exceptions should never be thrown;Code Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;6
Insufficient Modularization;Design Smell;Sections of code should not be commented out;Code Smell;6
String literals should not be duplicated;Code Smell;throws declarations should not be superfluous;Code Smell;6
Java 8 features should be preferred to Guava;Code Smell;Track uses of TODO tags;Code Smell;6
Cyclically-dependent Modularization;Design Smell;Deficient Encapsulation;Design Smell;6
Generic exceptions should never be thrown;Code Smell;Java 8 features should be preferred to Guava;Code Smell;6
Cyclically-dependent Modularization;Design Smell;Track uses of TODO tags;Code Smell;6
Unnecessary imports should be removed;Code Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;6
Java 8 features should be preferred to Guava;Code Smell;Unnecessary imports should be removed;Code Smell;6
@Deprecated code should not be used;Code Smell;Cognitive Complexity of methods should not be too high;Code Smell;6
Cyclically-dependent Modularization;Design Smell;The diamond operator (<>) should be used;Code Smell;6
Methods should not have identical implementations;Code Smell;Track uses of TODO tags;Code Smell;6
Insufficient Modularization;Design Smell;Local variables should not shadow class fields;Code Smell;6
Track uses of TODO tags;Code Smell;Unnecessary imports should be removed;Code Smell;6
Insufficient Modularization;Design Smell;Unused method parameters should be removed;Code Smell;6
Method names should comply with a naming convention;Code Smell;The diamond operator (<>) should be used;Code Smell;6
The diamond operator (<>) should be used;Code Smell;Unused private fields should be removed;Code Smell;6
Empty arrays and collections should be returned instead of null;Code Smell;Feature Concentration;Architectural Smell;6
Methods should not be empty;Code Smell;Unutilized Abstraction;Design Smell;6
Dead stores should be removed;Code Smell;The diamond operator (<>) should be used;Code Smell;6
Sections of code should not be commented out;Code Smell;throws declarations should not be superfluous;Code Smell;6
Methods should not have too many parameters;Code Smell;Sections of code should not be commented out;Code Smell;6
Printf-style format strings should be used correctly;Code Smell;throws declarations should not be superfluous;Code Smell;5
Source files should not have any duplicated blocks;Code Smell;String literals should not be duplicated;Code Smell;5
Local variables should not shadow class fields;Code Smell;The diamond operator (<>) should be used;Code Smell;5
Track uses of TODO tags;Code Smell;Unutilized Abstraction;Design Smell;5
Feature Concentration;Architectural Smell;Method names should comply with a naming convention;Code Smell;5
Collection.isEmpty() should be used to test for emptiness;Code Smell;Insufficient Modularization;Design Smell;5
Catches should be combined;Code Smell;throws declarations should not be superfluous;Code Smell;5
Java 8 features should be preferred to Guava;Code Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;5
Boolean literals should not be redundant;Code Smell;Cognitive Complexity of methods should not be too high;Code Smell;5
Boxed Boolean should be avoided in boolean expressions;Code Smell;Child class fields should not shadow parent class fields;Code Smell;5
Preconditions and logging arguments should not require evaluation;Code Smell;throws declarations should not be superfluous;Code Smell;5
Boxed Boolean should be avoided in boolean expressions;Code Smell;Unnecessary imports should be removed;Code Smell;5
Collapsible if statements should be merged;Code Smell;Methods should not have too many parameters;Code Smell;5
Feature Concentration;Architectural Smell;Local variable and method parameter names should comply with a naming convention;Code Smell;5
Feature Concentration;Architectural Smell;Resources should be closed;Code Smell;5
Conditionally executed blocks should be reachable;Code Smell;Feature Concentration;Architectural Smell;5
String literals should not be duplicated;Code Smell;Track uses of TODO tags;Code Smell;5
Empty arrays and collections should be returned instead of null;Code Smell;Insufficient Modularization;Design Smell;5
Anonymous inner classes containing only one method should become lambdas;Code Smell;Sections of code should not be commented out;Code Smell;5
Deficient Encapsulation;Design Smell;throws declarations should not be superfluous;Code Smell;5
The diamond operator (<>) should be used;Code Smell;Try-catch blocks should not be nested;Code Smell;5
The diamond operator (<>) should be used;Code Smell;Unused local variables should be removed;Code Smell;5
Catches should be combined;Code Smell;Insufficient Modularization;Design Smell;5
Anonymous inner classes containing only one method should become lambdas;Code Smell;Method names should comply with a naming convention;Code Smell;5
Boxed Boolean should be avoided in boolean expressions;Code Smell;String literals should not be duplicated;Code Smell;5
Cyclically-dependent Modularization;Design Smell;String literals should not be duplicated;Code Smell;5
Collapsible if statements should be merged;Code Smell;Feature Concentration;Architectural Smell;5
Cognitive Complexity of methods should not be too high;Code Smell;Cyclically-dependent Modularization;Design Smell;5
String literals should not be duplicated;Code Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;5
Type parameter names should comply with a naming convention;Code Smell;Unutilized Abstraction;Design Smell;5
Return of boolean expressions should not be wrapped into an if-then-else statement;Code Smell;Synchronized classes Vector  Hashtable  Stack and StringBuffer should not be used;Code Smell;5
Printf-style format strings should be used correctly;Code Smell;Unused method parameters should be removed;Code Smell;5
Cognitive Complexity of methods should not be too high;Code Smell;Methods should not have identical implementations;Code Smell;5
Collapsible if statements should be merged;Code Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;5
Broken Hierarchy;Design Smell;Insufficient Modularization;Design Smell;5
Cognitive Complexity of methods should not be too high;Code Smell;Method names should comply with a naming convention;Code Smell;5
Null pointers should not be dereferenced;Code Smell;throws declarations should not be superfluous;Code Smell;5
Cognitive Complexity of methods should not be too high;Code Smell;Fields in a Serializable class should either be transient or serializable;Code Smell;5
Preconditions and logging arguments should not require evaluation;Code Smell;Unutilized Abstraction;Design Smell;5
Feature Concentration;Architectural Smell;Multifaceted Abstraction;Design Smell;5
Feature Concentration;Architectural Smell;Modifiers should be declared in the correct order;Code Smell;5
Cognitive Complexity of methods should not be too high;Code Smell;Two branches in a conditional structure should not have exactly the same implementation;Code Smell;5
Preconditions and logging arguments should not require evaluation;Code Smell;Unnecessary imports should be removed;Code Smell;5
Cognitive Complexity of methods should not be too high;Code Smell;Utility classes should not have public constructors;Code Smell;5
Child class fields should not shadow parent class fields;Code Smell;Cognitive Complexity of methods should not be too high;Code Smell;5
Anonymous inner classes containing only one method should become lambdas;Code Smell;Local variable and method parameter names should comply with a naming convention;Code Smell;5
Conditionally executed blocks should be reachable;Code Smell;The diamond operator (<>) should be used;Code Smell;5
Fields in a Serializable class should either be transient or serializable;Code Smell;The diamond operator (<>) should be used;Code Smell;5
Local variables should not be declared and then immediately returned or thrown;Code Smell;Modifiers should be declared in the correct order;Code Smell;5
Anonymous inner classes containing only one method should become lambdas;Code Smell;Printf-style format strings should be used correctly;Code Smell;5
Child class fields should not shadow parent class fields;Code Smell;Generic exceptions should never be thrown;Code Smell;5
Exceptions should be either logged or rethrown but not both;Code Smell;The diamond operator (<>) should be used;Code Smell;5
Methods should not be empty;Code Smell;Modifiers should be declared in the correct order;Code Smell;5
Cyclically-dependent Modularization;Design Smell;throws declarations should not be superfluous;Code Smell;5
Java 8 features should be preferred to Guava;Code Smell;Printf-style format strings should be used correctly;Code Smell;5
Dead stores should be removed;Code Smell;Insufficient Modularization;Design Smell;5
Method names should comply with a naming convention;Code Smell;Preconditions and logging arguments should not require evaluation;Code Smell;5
Local variables should not shadow class fields;Code Smell;Return of boolean expressions should not be wrapped into an if-then-else statement;Code Smell;5
Local variables should not be declared and then immediately returned or thrown;Code Smell;Methods should not have too many parameters;Code Smell;5
Feature Concentration;Architectural Smell;Nested blocks of code should not be left empty;Code Smell;5
Unused private fields should be removed;Code Smell;Unutilized Abstraction;Design Smell;5
Preconditions and logging arguments should not require evaluation;Code Smell;Unused method parameters should be removed;Code Smell;5
Local variables should not be declared and then immediately returned or thrown;Code Smell;Unutilized Abstraction;Design Smell;5
Cognitive Complexity of methods should not be too high;Code Smell;Map.get and value test should be replaced with single method call;Code Smell;4
String literals should not be duplicated;Code Smell;Unnecessary imports should be removed;Code Smell;4
Dead stores should be removed;Code Smell;Unused local variables should be removed;Code Smell;4
Child class fields should not shadow parent class fields;Code Smell;String literals should not be duplicated;Code Smell;4
Unutilized Abstraction;Design Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;4
Boolean expressions should not be gratuitous;Code Smell;Cognitive Complexity of methods should not be too high;Code Smell;4
Cognitive Complexity of methods should not be too high;Code Smell;Exceptions should be either logged or rethrown but not both;Code Smell;4
Methods should not be empty;Code Smell;Unnecessary imports should be removed;Code Smell;4
Method names should comply with a naming convention;Code Smell;Methods should not have too many parameters;Code Smell;4
Insufficient Modularization;Design Smell;Unused private fields should be removed;Code Smell;4
@Deprecated code should not be used;Code Smell;Track uses of TODO tags;Code Smell;4
Fields in a Serializable class should either be transient or serializable;Code Smell;Methods should not have identical implementations;Code Smell;4
Nested blocks of code should not be left empty;Code Smell;The diamond operator (<>) should be used;Code Smell;4
Insufficient Modularization;Design Smell;Printf-style format strings should be used correctly;Code Smell;4
Null pointers should not be dereferenced;Code Smell;Unnecessary imports should be removed;Code Smell;4
Collection.isEmpty() should be used to test for emptiness;Code Smell;Unused method parameters should be removed;Code Smell;4
Deficient Encapsulation;Design Smell;Utility classes should not have public constructors;Code Smell;4
Cognitive Complexity of methods should not be too high;Code Smell;Nested blocks of code should not be left empty;Code Smell;4
Catches should be combined;Code Smell;Unutilized Abstraction;Design Smell;4
@Override should be used on overriding and implementing methods;Code Smell;Anonymous inner classes containing only one method should become lambdas;Code Smell;4
Deficient Encapsulation;Design Smell;Unused private fields should be removed;Code Smell;4
Method names should comply with a naming convention;Code Smell;Printf-style format strings should be used correctly;Code Smell;4
Boolean literals should not be redundant;Code Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;4
Preconditions and logging arguments should not require evaluation;Code Smell;String literals should not be duplicated;Code Smell;4
Preconditions and logging arguments should not require evaluation;Code Smell;entrySet() should be iterated when both the key and value are needed;Code Smell;4
Generic exceptions should never be thrown;Code Smell;Track uses of TODO tags;Code Smell;4
